variant,color
Ancestral,#333333
B.1.1.529,#FFBE7D
B.1.1.7,#8DD3C7
B.1.351,#FFFFB3
B.1.427,#BEBADA
B.1.429,#BEBADA
B.1.525,#FB8072
B.1.526,#B3DE69
B.1.617.1,#FCCDE5
B.1.617.2,#B39DDB
B.1.621,#BC80BD
B.1.621.1,#BC80BD
BA.1 ,#E96127
BA.1.1,#FF824C
BA.1.1.529,#E26028
BA.2,#9CCD67
BA.2.12.1,#7CB342
BA.2.75,#D4E157
BA.2.75.2,#C0CA33
BA.2.86,#D770EE
BA.3,#E26028
BA.4,#FFD54F
BA.4.6,#FFB300
BA.5,#80CBC4
BA.5.2.6,#009688
BF.11,#29b6F6
BF.7,#81D4FA
BN.1,#9E9D24
BQ.1,#006064
BQ.1.1,#00838F
CH.1.1,#827717
EG.5,#FFBE7D  
EG.5.1.8,#E14D6F
EG.6.1,#B9ABA8
EU.1.1,#F25353
FD.1.1,#E7CB40
FD.2,#8C9EFF
FE.1.1,#499894
FL.1.5.1,#8CD17D
GE.1,#FABFD2
GK.1.1,#90FAE5
GK.2,#9D8577
HF.1,#D399AD
HK.3,#859DBC
HV.1,#797765
JD.1.1,#80F192
JF.1,#FFF1A9
JG.3,#66A172
JN.1,#61018F
JN.1.11.1,#5C9CF1
JN.1.13,#E83C78
JN.1.13.1,#F2591C
JN.1.16,#BC3A88
JN.1.16.1,#366298
JN.1.18,#4AF32F
JN.1.18.6,#D16F2C
JN.1.32,#2E7919
JN.1.4.3,#9D1010
JN.1.7,#CF15E8
JN.1.8.1,#FFB027
KP.1.1,#CBFF86
KP.1.1.3,#1EB3B6
KP.1.2,#D7B5A6
KP.2,#5875A1
KP.2.15,#175DFF
KP.2.3,#628DE8
KP.3,#B06589
KP.3.1.1,#2F92A1
KP.4.1,#FF473A
KQ.1,#E86CDE
KV.2,#E14365
KW.1.1,#34A0FF
LB.1 ,#795653
LB.1.3.1,#67B4BC
LF.3.1,#D23F95
LF.7,#3E8AA1
LF.7.2.1,#837FFE
LF.7.7.1,#3A54FF
LF.7.7.2,#8686FF
LF.7.9,#604AA1
LP.1,#9F5495
LP.8.1,#FF860C
MC.1,#B6B614
MC.10.1,#0956D1
MC.19,#206CC0
MC.28.1,#277B9F
NB.1.8.1,#8E1299
NW.1,#EC4F00
Other,#FABFD2
P.1,#FDB462
P.2,#FFED6F
PA.1,#4545FF
Recombinant,#FF0000
unreportable,#eeeeee
XBB ,#9FA8DA
XBB.1.16,#4527A0
XBB.1.16.1,#F89B9B
XBB.1.16.11,#D37295
XBB.1.16.15,#E3B5FA
XBB.1.16.17,#8F8CB0
XBB.1.16.6,#5AA350
XBB.1.42.2,#75D1A3
XBB.1.5,#3F51B5
XBB.1.5.1,#1A237E
XBB.1.5.10, #F97A57
XBB.1.5.59,#FFBE7D
XBB.1.5.68,#86BCB6
XBB.1.5.70,#46783C
XBB.1.5.72,#254220
XBB.1.9.1,#304FFE
XBB.1.9.2,#536DFE
XBB.2.3,#F7BCDF
XBB.2.3.8,#B9B2E8
XDP,#B60052
XDV.1,#D367B6
XEC,#4CA14C
XEC.4,#06BC61
XEK,#B6992D
XEQ,#7660F1
XFC,#B66920
XFG,#4e6ea1
